foundation_model,target_key,outcome_type,family,cancer_type,endpoint,model_id,resource_selection_basis,representation_specific_qualification,default_inference,redistribution_status,matched_task,representation_effect_threshold_crossing,matched_q2,matched_balanced_accuracy,matched_auroc,object_crossed_representation_threshold,resource_scope,complete_operationalization_of_representation_atlas
GigaSSL,binaryaneuploidyBLCAGenome doubling,binary,aneuploidy,BLCA,Genome doubling,GigaSSL__aneuploidy__BLCA__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.670637743006164,0.715623518255097,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidyCESCGenome doubling,binary,aneuploidy,CESC,Genome doubling,GigaSSL__aneuploidy__CESC__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.642651888341544,0.676929392446634,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidyCOADGenome doubling,binary,aneuploidy,COAD,Genome doubling,GigaSSL__aneuploidy__COAD__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.671900826446281,0.763461056849487,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidyHNSCGenome doubling,binary,aneuploidy,HNSC,Genome doubling,GigaSSL__aneuploidy__HNSC__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.616575991575992,0.648034398034398,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidyLUADGenome doubling,binary,aneuploidy,LUAD,Genome doubling,GigaSSL__aneuploidy__LUAD__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.602774365274365,0.639004914004914,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidyLUSCGenome doubling,binary,aneuploidy,LUSC,Genome doubling,GigaSSL__aneuploidy__LUSC__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.563959293394777,0.63097158218126,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidyOVGenome doubling,binary,aneuploidy,OV,Genome doubling,GigaSSL__aneuploidy__OV__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.529442970822281,0.639257294429708,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidyPCPGGenome doubling,binary,aneuploidy,PCPG,Genome doubling,GigaSSL__aneuploidy__PCPG__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,FALSE,,0.56437969924812,0.530388471177945,FALSE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidySARCGenome doubling,binary,aneuploidy,SARC,Genome doubling,GigaSSL__aneuploidy__SARC__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.674603174603175,0.727820294784581,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidySTADGenome doubling,binary,aneuploidy,STAD,Genome doubling,GigaSSL__aneuploidy__STAD__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.66808884835852,0.742509119332986,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryaneuploidyUCECGenome doubling,binary,aneuploidy,UCEC,Genome doubling,GigaSSL__aneuploidy__UCEC__Genome_doubling,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.729728259391236,0.761227320947692,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationBLCAFGFR3,binary,driver_mutation,BLCA,FGFR3,GigaSSL__driver_mutation__BLCA__FGFR3,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.774410774410774,0.819921436588103,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationBLCATP53,binary,driver_mutation,BLCA,TP53,GigaSSL__driver_mutation__BLCA__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.58064647562135,0.622436506858617,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationCESCTP53,binary,driver_mutation,CESC,TP53,GigaSSL__driver_mutation__CESC__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,FALSE,,0.537888198757764,0.566666666666667,FALSE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationCOADAPC,binary,driver_mutation,COAD,APC,GigaSSL__driver_mutation__COAD__APC,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.743361860873382,0.794574281325433,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationCOADKRAS,binary,driver_mutation,COAD,KRAS,GigaSSL__driver_mutation__COAD__KRAS,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.650483630952381,0.693142361111111,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationCOADTP53,binary,driver_mutation,COAD,TP53,GigaSSL__driver_mutation__COAD__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.711770326859841,0.786149911469605,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationHNSCNSD1,binary,driver_mutation,HNSC,NSD1,GigaSSL__driver_mutation__HNSC__NSD1,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.694195046439629,0.743292053663571,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationHNSCTP53,binary,driver_mutation,HNSC,TP53,GigaSSL__driver_mutation__HNSC__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.639484797297297,0.685275900900901,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationKIRCSETD2,binary,driver_mutation,KIRC,SETD2,GigaSSL__driver_mutation__KIRC__SETD2,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,FALSE,,0.559595464725644,0.583146696528555,FALSE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationKIRCVHL,binary,driver_mutation,KIRC,VHL,GigaSSL__driver_mutation__KIRC__VHL,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,FALSE,,0.538727094240838,0.575523560209424,FALSE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
