outcome_type,family,endpoint,source,definition_group,measurement_class,source_modality,direct_vs_inferred,derivation_algorithm,original_scale,transformation,expected_measurement_error,biological_interpretation,equivalence_caveat,source_reference,same_histology_modality
binary,aneuploidy,Genome doubling,Taylor2018_TableS2,Genome-doubling call,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),FALSE
binary,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,MSI threshold status,composite genomic-context score,Matched tumour-normal DNA sequencing,Computational MSI score/status,Bonneville-aligned definition: MANTIS score >0.4 is MSI-H,Binary 0/1,None; source value used as supplied,"Depends on normal matching, read depth, microsatellite coverage and algorithm thresholds; no technical-replicate error estimate was supplied",Algorithm-defined MSI-high status,"Research sequencing algorithm output; not equivalent to a certified PCR, IHC or clinical NGS MSI assay",Bonneville et al. 2017 (10.1200/PO.17.00073); cBioPortal TCGA PanCancer,FALSE
binary,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,MSI threshold status,composite genomic-context score,Matched tumour-normal DNA sequencing,Computational MSI score/status,MANTIS score >0.6 is MSI-H; <0.4 is stable; 0.4–0.6 is excluded,Binary 0/1,None; source value used as supplied,"Depends on normal matching, read depth, microsatellite coverage and algorithm thresholds; no technical-replicate error estimate was supplied",Algorithm-defined MSI-high status,"Research sequencing algorithm output; not equivalent to a certified PCR, IHC or clinical NGS MSI assay",Bonneville et al. 2017 (10.1200/PO.17.00073); cBioPortal TCGA PanCancer,FALSE
binary,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",Cell Cycle pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",HIPPO pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,MYC,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",MYC pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",NOTCH pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",NRF2 pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",PI3K pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",RTK RAS pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",TGF-Beta pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,TP53,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",TP53 pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
binary,oncogenic_pathway,WNT,SanchezVega2018_TableS4,Oncogenic-pathway alteration,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,Sanchez-Vega pathway-level matrix; a patient is positive when a source-defined member gene is altered; any altered primary aliquot defines positivity,Binary 0/1 pathway status,None,"Inherits platform, calling and pathway-membership uncertainty; different member alterations are collapsed into one label",WNT pathway alteration status,"Composite research label, not a single directly measured assay",Sanchez-Vega et al. 2018 (10.1016/j.cell.2018.03.035),FALSE
continuous,thorsson,Aneuploidy Score,Thorsson2018_PanImmune_MS,Genomic-context score,composite genomic-context score,Somatic copy-number and/or variant profiles,Computationally derived,PanCancer genomic-context feature compiled by Thorsson et al.; exact source definition is retained in the PanImmune feature matrix,Non-negative source score/count,None; source value used as supplied,"Inherits purity, coverage, segmentation and source-algorithm uncertainty; no technical-replicate error estimate was supplied",Aneuploidy Score as a tumour genomic-context feature,"Research computational score, not a direct laboratory measurement",Thorsson et al. 2018 (10.1016/j.immuni.2018.03.023),FALSE
continuous,thorsson,Fraction Altered,Thorsson2018_PanImmune_MS,Genomic-context score,composite genomic-context score,Somatic copy-number and/or variant profiles,Computationally derived,PanCancer genomic-context feature compiled by Thorsson et al.; exact source definition is retained in the PanImmune feature matrix,"Proportion, approximately 0–1",None; source value used as supplied,"Inherits purity, coverage, segmentation and source-algorithm uncertainty; no technical-replicate error estimate was supplied",Fraction Altered as a tumour genomic-context feature,"Research computational score, not a direct laboratory measurement",Thorsson et al. 2018 (10.1016/j.immuni.2018.03.023),FALSE
continuous,thorsson,Homologous Recombination Defects,Thorsson2018_PanImmune_MS,Genomic-context score,composite genomic-context score,Somatic copy-number and/or variant profiles,Computationally derived,PanCancer genomic-context feature compiled by Thorsson et al.; exact source definition is retained in the PanImmune feature matrix,Non-negative source score/count,None; source value used as supplied,"Inherits purity, coverage, segmentation and source-algorithm uncertainty; no technical-replicate error estimate was supplied",Homologous Recombination Defects as a tumour genomic-context feature,"Research computational score, not a direct laboratory measurement",Thorsson et al. 2018 (10.1016/j.immuni.2018.03.023),FALSE
continuous,thorsson,Intratumor Heterogeneity,Thorsson2018_PanImmune_MS,Intratumour-heterogeneity score,composite genomic-context score,Somatic variant/copy-number profiles,Computationally inferred,ABSOLUTE-derived subclonal heterogeneity measure compiled by Thorsson et al.,Source heterogeneity score,None; source value used as supplied,"Depends on purity, depth, copy-number state and subclonal reconstruction; no technical-replicate error estimate was supplied",Estimated within-sample subclonal genomic heterogeneity,Not a direct spatial or single-cell heterogeneity measurement,Thorsson et al. 2018 (10.1016/j.immuni.2018.03.023),FALSE
continuous,thorsson,Number of Segments,Thorsson2018_PanImmune_MS,Genomic-context score,composite genomic-context score,Somatic copy-number and/or variant profiles,Computationally derived,PanCancer genomic-context feature compiled by Thorsson et al.; exact source definition is retained in the PanImmune feature matrix,Non-negative source score/count,Natural log of one plus the source value before modelling,"Inherits purity, coverage, segmentation and source-algorithm uncertainty; no technical-replicate error estimate was supplied",Number of Segments as a tumour genomic-context feature,"Research computational score, not a direct laboratory measurement",Thorsson et al. 2018 (10.1016/j.immuni.2018.03.023),FALSE
continuous,thorsson,Stromal Fraction,Thorsson2018_PanImmune_MS,Purity-derived stromal fraction,composite genomic-context score,Integrated copy-number/variant purity estimate,Computationally inferred,One minus ABSOLUTE-estimated tumour purity in the PanCancer resource,"Proportion, approximately 0–1",None; source value used as supplied,"Inherits ABSOLUTE purity, ploidy and copy-number model error; may include immune and non-immune non-tumour cells",Estimated non-tumour cellular fraction,Not a direct histological stromal-area or stromal-cell count,Thorsson et al. 2018; Hoadley et al. 2018 PanCancer resource,FALSE
continuous,thorsson,B Cells Memory,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of B Cells Memory,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,B Cells Naive,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of B Cells Naive,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Dendritic Cells Activated,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Dendritic Cells Activated,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Dendritic Cells Resting,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Dendritic Cells Resting,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
