target_id,outcome_type,family,subfamily,tumor_type,endpoint,source,measurement_class,source_modality,direct_vs_inferred,derivation_algorithm,original_scale,transformation,analysed_patients,positive,negative,embedding_cohort_patients,missing_patients,missing_percent,expected_measurement_error,biological_interpretation,equivalence_caveat,same_histology_modality,source_reference,definition_group
binary::aneuploidy::ACC::Genome doubling,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,54,28,26,56,2,3.57142857142857,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::BLCA::Genome doubling,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,376,228,148,386,10,2.59067357512953,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::BRCA::Genome doubling,binary,aneuploidy,aneuploidy,BRCA,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,998,438,560,1054,56,5.31309297912714,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::CESC::Genome doubling,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,259,85,174,269,10,3.71747211895911,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::COAD::Genome doubling,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,408,165,243,433,25,5.77367205542725,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::ESCA::Genome doubling,binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,136,79,57,156,20,12.8205128205128,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::GBM::Genome doubling,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,362,46,316,384,22,5.72916666666667,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::HNSC::Genome doubling,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,435,176,259,450,15,3.33333333333333,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::KIRC::Genome doubling,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,464,89,375,513,49,9.55165692007797,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::LGG::Genome doubling,binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,481,157,324,490,9,1.83673469387755,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
