field,value
review_type,"Targeted narrative cross-check; not a systematic review or comprehensive bibliographic audit"
database,"PubMed"
last_search_date,"2026-08-24"
search_1,"(histology OR H&E OR whole-slide image) AND (mutation OR genomic alteration) AND (prediction OR deep learning) AND cancer"
search_2,"(computational pathology OR digital pathology) AND molecular biomarker prediction AND cancer"
search_3,"pan-cancer AND histology AND mutation prediction AND TCGA"
search_4,"thymoma AND GTF2I AND (histology OR morphology OR prediction)"
additional_identification,"Backward and forward citation checking of the principal pan-cancer and endpoint-specific studies already cited in the manuscript; primary-study supplementary tables were checked when available"
inclusion,"Human tumour studies predicting a mutation or molecular feature from routine histological whole-slide images, with a cancer and endpoint that could be mapped to the present atlas"
exclusion,"Morphology-only association without a predictive model; non-histological predictors; prognosis-only studies; reviews without primary performance results; studies lacking a mappable cancer-endpoint pair"
preprints,"Retained in a separate preliminary-evidence category and never treated as peer-reviewed external validation"
colorectal_mapping,"Evidence reported for a pooled colorectal/CRC cohort was mapped to both COAD and READ, labelled pooled colorectal rather than exact-cancer evidence; exact COAD or READ results took precedence when available"
screening_process,"One investigator screened titles/abstracts and extracted study, cancer, endpoint, metric, evidence status, scope and source URL; no duplicate independent screening or formal risk-of-bias assessment"
