study,year,scope,endpoints,modeling_strategy,development_cohort,external_validation,reported_performance,doi,relevance_to_current_atlas
Coudray et al.,2018,NSCLC and LUAD,Histological class and recurrent LUAD mutations,Inception-v3 CNN with tile aggregation,TCGA,Independent NYU cohort for histological classification; mutation models primarily TCGA held-out,"Mutation AUROCs varied by gene; six recurrent genes were reported as discriminable",10.1038/s41591-018-0177-5,Established mutation prediction from H&E in lung cancer
Kather et al.,2019,Gastrointestinal cancers and UCEC,MSI status,Deep residual CNN with tile aggregation,TCGA CRC and STAD,"DACHS CRC (n=378) and KCCH gastric (n=185)","DACHS CRC AUROC 0.84 (95% CI 0.72-0.92); KCCH gastric AUROC 0.69 (0.52-0.82); held-out UCEC AUROC 0.75 (0.63-0.83)",10.1038/s41591-019-0462-y,Direct precedent for MSI prediction and need for external validation
Echle et al.,2020,Colorectal cancer,MSI/dMMR,Deep CNN trained on multicentre slides,International multicentre cohort (n=6406),Independent YCR-BCIP cohort (n=771),"Cross-validation AUROC about 0.92; external dMMR AUROC 0.96",10.1053/j.gastro.2020.06.021,Clinical-grade MSI benchmark with large external validation
Fu et al.,2020,Pan-cancer,Mutations copy-number changes tumor composition and prognosis,CNN-derived 1536-dimensional image features with penalised downstream models,TCGA across 28 cancers,None outside TCGA for the pan-cancer atlas,Endpoint-specific AUROCs reported,10.1038/s43018-020-0085-8,Closest early precedent for reusable image features plus downstream molecular models
Kather et al.,2020,Pan-cancer,Mutations molecular subtypes expression signatures and standard biomarkers,Task-specific deep-learning workflow,More than 5000 patients across solid tumours,External cohorts for selected endpoints,Endpoint-specific AUROCs reported across 14 tumour types,10.1038/s43018-020-0087-6,Precedent for actionable alteration screening across cancers
Schmauch et al.,2020,Pan-cancer,Transcriptome-wide RNA expression and pathways,HE2RNA weakly supervised deep neural network,TCGA 8725 patients across 28 cancers,External breast and lung cohorts for selected analyses,Endpoint-specific gene-expression correlations,10.1038/s41467-020-17678-4,Precedent for continuous molecular prediction from H&E
Howard et al.,2021,Six TCGA cancers,Submitting-site signatures and bias,CNN site and molecular classifiers,TCGA more than 3000 patients,Site-preserved validation within TCGA,"Site signatures remained detectable and could inflate mutation stage and survival prediction",10.1038/s41467-021-24698-1,Supports site-grouped sensitivity and cautious TCGA interpretation
Loeffler et al.,2022,Pan-cancer,69 genes and 12 pathways,End-to-end CNN with manually outlined tumour regions,TCGA 7829 patients across 23 cancers,None outside TCGA in primary systematic screen,"44 of 69 genes were reported predictable in at least one tumour type",10.3389/fgene.2021.806386,Direct cancer-gene and pathway comparison for the mutation discussion
Dadhania et al.,2022,Prostate cancer,ERG rearrangement status,MobileNetV2 CNN at three magnifications,392 in-house and TCGA cases,Held-out 131-case test set,"AUROC 0.82-0.85; sensitivity 75.0% and specificity 83.1% at 20x",10.1186/s12885-022-09559-4,Precedent for H&E-based fusion prediction
Mayer et al.,2022,NSCLC,ALK and ROS1 fusions,Two-stage deep CNN,Pan-cancer pretraining plus NSCLC development,Independent 72-case Sheba cohort,"Sensitivity 100% for ALK and ROS1; specificity 100% and 98.6% respectively with very few positives",10.1038/s41379-022-01141-4,Shows both promise and denominator limitations for rare fusion endpoints
Saldanha et al.,2023,Pan-cancer,Somatic gene alterations,Self-supervised RetCCL features plus attention MIL,TCGA across multiple cancers,CPTAC external cohorts for seven cancer groups,Endpoint-specific internal and external AUROCs,10.1038/s41698-023-00365-0,Externally validated mutation-screening precedent
El Nahhas et al.,2024,Nine cancers,Continuous HRD and tumour-microenvironment biomarkers,Self-supervised attention MIL regression,11671 patients across nine cancers,Selected external cohorts,"Regression improved continuous biomarker prediction and interpretability relative to dichotomisation",10.1038/s41467-024-45589-1,Supports continuous rather than dichotomised endpoint modeling
Arslan et al.,2024,Pan-cancer,4031 genomic transcriptomic proteomic and clinical biomarkers,Autoencoder image features plus task-specific deep-learning models,TCGA 8890 patients and 10954 FFPE slides across 32 cancers,CPTAC for selected cancer-endpoint combinations,"Median model AUROC 0.644; top quartile at least 0.719; top 5% above 0.834",10.1038/s43856-024-00471-5,Closest broad multi-omic pan-cancer comparator and demonstrates heterogeneous performance
Bergstrom et al.,2024,Breast and ovarian cancer,HRD and platinum response,DeepHRD weakly supervised CNN,TCGA BRCA and OV,"CPTAC METABRIC and independent clinical cohorts","TCGA breast AUROC 0.81 (0.77-0.85); external primary breast AUROC 0.76 (0.71-0.82)",10.1200/JCO.23.02641,Illustrates external biomarker and treatment-response validation absent here
Patkar et al.,2024,NSCLC,Thirty tumour-microenvironment expression signatures and immunotherapy response,Foundation-model features plus single-task or multitask attention MIL,TCGA NSCLC (n=865),"CPTAC (n=333) and SUNY cohorts with IHC and treatment outcomes","Mean external Pearson correlation 0.50; IHC cell-type correlations 0.41-0.60; first-line ICI-response AUROC 0.75 (0.61-0.88)",10.1038/s41698-024-00765-w,Direct immune-feature precedent and a stronger external-validation standard
Ding et al.,2025,Pan-organ and pan-cancer,Diagnosis molecular status prognosis retrieval and report generation,TITAN whole-slide vision-language foundation model,"Mass-340K pretraining: 335645 WSIs plus synthetic captions and 182862 WSI-report pairs",TCGA was downstream evaluation and explicitly excluded from TITAN pretraining,Task-specific linear-probe and zero-shot metrics,10.1038/s41591-025-03982-3,Establishes no TCGA pretraining overlap but confirms prior downstream TCGA use
